gene_id	status
LOC5507596	unmethylated
LOC116614821	unmethylated
LOC5502200	unmethylated
LOC5502199	unmethylated
LOC5502197	unmethylated
LOC125568335	unmethylated
LOC5502189	unmethylated
LOC5502182	unmethylated
LOC116605973	unmethylated
LOC116619350	unmethylated
LOC5514387	unmethylated
LOC5514388	unmethylated
LOC5514405	unmethylated
LOC116619356	unmethylated
LOC5514386	unmethylated
LOC5514401	unmethylated
LOC116619320	unmethylated
LOC116619361	unmethylated
LOC116619366	unmethylated
LOC125563025	unmethylated
LOC116619309	unmethylated
LOC5514454	unmethylated
LOC116604078	unmethylated
LOC5514456	unmethylated
LOC5514457	unmethylated
LOC116619360	unmethylated
LOC116619311	unmethylated
LOC5514418	unmethylated
LOC5514421	unmethylated
LOC116619304	unmethylated
LOC5514426	unmethylated
LOC125563026	unmethylated
LOC116619355	unmethylated
LOC5514461	unmethylated
LOC5514463	unmethylated
LOC116617323	unmethylated
LOC125563785	unmethylated
LOC5514430	unmethylated
LOC5514466	unmethylated
LOC5514431	unmethylated
LOC116619323	unmethylated
LOC5514467	unmethylated
LOC5514438	unmethylated
LOC5514441	unmethylated
LOC5514469	unmethylated
LOC5514470	unmethylated
LOC5514442	unmethylated
LOC5514471	unmethylated
LOC116619351	unmethylated
LOC5514472	unmethylated
LOC116619347	unmethylated
LOC5514446	unmethylated
LOC116619312	unmethylated
LOC5512346	unmethylated
LOC5512321	unmethylated
LOC5512343	unmethylated
LOC5512342	unmethylated
LOC5512316	unmethylated
LOC116618238	unmethylated
LOC116607885	unmethylated
LOC116618244	unmethylated
LOC125563029	unmethylated
LOC5497604	unmethylated
LOC5500939	unmethylated
LOC5500940	unmethylated
LOC5512336	unmethylated
LOC5512335	unmethylated
LOC5512313	unmethylated
LOC5512334	unmethylated
LOC5512310	unmethylated
LOC5512330	unmethylated
LOC116618227	unmethylated
LOC5512327	unmethylated
LOC125564300	unmethylated
LOC116618221	unmethylated
LOC5512325	unmethylated
LOC116618216	unmethylated
LOC5499017	unmethylated
LOC5512297	unmethylated
LOC116618245	unmethylated
LOC116618242	unmethylated
LOC5512281	unmethylated
LOC5512278	unmethylated
LOC116615370	unmethylated
LOC5512279	unmethylated
LOC5512282	unmethylated
LOC5512294	unmethylated
LOC5512275	unmethylated
LOC116618218	unmethylated
LOC116618231	unmethylated
LOC116618230	unmethylated
LOC5512273	unmethylated
LOC5507654	unmethylated
LOC5507662	unmethylated
LOC5507663	unmethylated
LOC116614876	unmethylated
LOC116614861	unmethylated
LOC5507661	unmethylated
LOC125563034	unmethylated
LOC125563036	unmethylated
LOC125568720	unmethylated
LOC116614865	unmethylated
LOC116614864	unmethylated
LOC5507672	unmethylated
LOC125561800	unmethylated
LOC125563039	unmethylated
LOC5499134	unmethylated
LOC116604967	unmethylated
LOC116605415	unmethylated
LOC125570240	unmethylated
LOC116605416	unmethylated
LOC125561768	unmethylated
LOC116614875	unmethylated
LOC5507688	unmethylated
LOC5507682	unmethylated
LOC5507692	unmethylated
LOC5507693	unmethylated
LOC116618157	unmethylated
LOC5507694	unmethylated
LOC116614859	unmethylated
LOC5507684	unmethylated
LOC5507695	unmethylated
LOC5500707	unmethylated
LOC116605921	unmethylated
LOC5504926	unmethylated
LOC5504944	unmethylated
LOC5504933	unmethylated
LOC5504947	unmethylated
LOC116612535	unmethylated
LOC125563043	unmethylated
LOC125565531	unmethylated
LOC5504948	unmethylated
LOC125563048	unmethylated
LOC125565515	unmethylated
LOC5504949	unmethylated
LOC5504951	unmethylated
LOC5504952	unmethylated
LOC116612526	unmethylated
LOC125561066	unmethylated
LOC5503926	unmethylated
LOC125563061	unmethylated
LOC116611694	unmethylated
LOC5503930	unmethylated
LOC116611696	unmethylated
LOC125570236	unmethylated
LOC125563064	unmethylated
LOC5503910	unmethylated
LOC5503912	unmethylated
LOC116611705	unmethylated
LOC5503916	unmethylated
LOC116617885	unmethylated
LOC116617882	unmethylated
LOC5518242	unmethylated
LOC5518244	unmethylated
LOC5518243	unmethylated
LOC5518230	unmethylated
LOC116601957	unmethylated
LOC116601956	unmethylated
LOC5518226	unmethylated
